Year,Collection Per Capita,Library
2015,5.05242,BURBANK PUBLIC LIBRARY
2016,4.75493,BURBANK PUBLIC LIBRARY
2017,3.93923,BURBANK PUBLIC LIBRARY
2018,4.00371,BURBANK PUBLIC LIBRARY
2019,5.04962,BURBANK PUBLIC LIBRARY
2010,6.28944,BURLINGAME PUBLIC LIBRARY
2011,6.44458,BURLINGAME PUBLIC LIBRARY
2012,6.44508,BURLINGAME PUBLIC LIBRARY
2013,7.10932,BURLINGAME PUBLIC LIBRARY
2014,6.94827,BURLINGAME PUBLIC LIBRARY
2015,7.49628,BURLINGAME PUBLIC LIBRARY
2016,7.56978,BURLINGAME PUBLIC LIBRARY
2017,7.93087,BURLINGAME PUBLIC LIBRARY
2018,7.05023,BURLINGAME PUBLIC LIBRARY
2019,10.53907,BURLINGAME PUBLIC LIBRARY
2010,1.18993,BUTTE COUNTY LIBRARY
2011,1.25709,BUTTE COUNTY LIBRARY
2012,1.25739,BUTTE COUNTY LIBRARY
2013,1.17167,BUTTE COUNTY LIBRARY
2014,1.13922,BUTTE COUNTY LIBRARY
2015,1.26194,BUTTE COUNTY LIBRARY
2016,1.414,BUTTE COUNTY LIBRARY
2017,1.42965,BUTTE COUNTY LIBRARY
2018,1.51277,BUTTE COUNTY LIBRARY
2019,1.59304,BUTTE COUNTY LIBRARY
2010,2.66512,CALABASAS CITY LIBRARY
2011,2.75468,CALABASAS CITY LIBRARY
2012,2.87745,CALABASAS CITY LIBRARY
2013,3.02623,CALABASAS CITY LIBRARY
2014,3.13869,CALABASAS CITY LIBRARY
2015,3.23587,CALABASAS CITY LIBRARY
2016,3.29361,CALABASAS CITY LIBRARY
2017,3.37158,CALABASAS CITY LIBRARY
2018,3.53909,CALABASAS CITY LIBRARY
2019,3.61133,CALABASAS CITY LIBRARY
2010,2.16188,CALAVERAS COUNTY LIBRARY
2011,2.24362,CALAVERAS COUNTY LIBRARY
2012,2.22883,CALAVERAS COUNTY LIBRARY
2013,2.34083,CALAVERAS COUNTY LIBRARY
2014,2.32955,CALAVERAS COUNTY LIBRARY
2015,2.7131,CALAVERAS COUNTY LIBRARY
2016,3.54581,CALAVERAS COUNTY LIBRARY
2017,3.26481,CALAVERAS COUNTY LIBRARY
2018,3.27825,CALAVERAS COUNTY LIBRARY
2019,3.4541,CALAVERAS COUNTY LIBRARY
2010,1.78806,CAMARENA MEMORIAL PUBLIC LIBRARY
2011,1.60848,CAMARENA MEMORIAL PUBLIC LIBRARY
2012,1.78009,CAMARENA MEMORIAL PUBLIC LIBRARY
2013,1.63956,CAMARENA MEMORIAL PUBLIC LIBRARY
2014,1.54317,CAMARENA MEMORIAL PUBLIC LIBRARY
2015,1.69568,CAMARENA MEMORIAL PUBLIC LIBRARY
2016,1.77747,CAMARENA MEMORIAL PUBLIC LIBRARY
2017,3.88607,CAMARENA MEMORIAL PUBLIC LIBRARY
2018,3.41343,CAMARENA MEMORIAL PUBLIC LIBRARY
2019,7.10307,CAMARENA MEMORIAL PUBLIC LIBRARY
2010,3.57217,CAMARILLO PUBLIC LIBRARY
2011,3.74095,CAMARILLO PUBLIC LIBRARY
2012,4.3566,CAMARILLO PUBLIC LIBRARY
2013,4.53558,CAMARILLO PUBLIC LIBRARY
2014,5.4789,CAMARILLO PUBLIC LIBRARY
2015,3.22434,CAMARILLO PUBLIC LIBRARY
2016,3.58725,CAMARILLO PUBLIC LIBRARY
2017,3.73167,CAMARILLO PUBLIC LIBRARY
2018,3.26668,CAMARILLO PUBLIC LIBRARY
2019,9.71136,CAMARILLO PUBLIC LIBRARY
2010,3.27401,CARLSBAD CITY LIBRARY
2011,3.21086,CARLSBAD CITY LIBRARY
2012,3.23973,CARLSBAD CITY LIBRARY
2013,3.09258,CARLSBAD CITY LIBRARY
2014,2.93725,CARLSBAD CITY LIBRARY
2015,2.65476,CARLSBAD CITY LIBRARY
2016,2.686,CARLSBAD CITY LIBRARY
2017,2.65098,CARLSBAD CITY LIBRARY
2018,2.75987,CARLSBAD CITY LIBRARY
2019,2.7306,CARLSBAD CITY LIBRARY
2010,5.18633,CERRITOS PUBLIC LIBRARY
2011,5.16094,CERRITOS PUBLIC LIBRARY
2012,5.12757,CERRITOS PUBLIC LIBRARY
2013,5.1657,CERRITOS PUBLIC LIBRARY
2014,4.73631,CERRITOS PUBLIC LIBRARY
2015,5.80106,CERRITOS PUBLIC LIBRARY
2016,5.39935,CERRITOS PUBLIC LIBRARY
2017,5.90249,CERRITOS PUBLIC LIBRARY
2018,5.003,CERRITOS PUBLIC LIBRARY
2019,5.89707,CERRITOS PUBLIC LIBRARY
2010,1.80721,CHULA VISTA PUBLIC LIBRARY
2011,1.38709,CHULA VISTA PUBLIC LIBRARY
2012,1.41863,CHULA VISTA PUBLIC LIBRARY
2013,1.36835,CHULA VISTA PUBLIC LIBRARY
2014,1.29085,CHULA VISTA PUBLIC LIBRARY
2015,1.18965,CHULA VISTA PUBLIC LIBRARY
2016,1.17826,CHULA VISTA PUBLIC LIBRARY
2017,1.09974,CHULA VISTA PUBLIC LIBRARY
2018,1.1151,CHULA VISTA PUBLIC LIBRARY
2019,0.99532,CHULA VISTA PUBLIC LIBRARY
2010,8.85411,CITY OF COMMERCE PUBLIC LIBRARY
2011,9.34216,CITY OF COMMERCE PUBLIC LIBRARY
2012,9.58129,CITY OF COMMERCE PUBLIC LIBRARY
2013,8.95862,CITY OF COMMERCE PUBLIC LIBRARY
2014,9.36194,CITY OF COMMERCE PUBLIC LIBRARY
2015,9.31645,CITY OF COMMERCE PUBLIC LIBRARY
2016,9.64605,CITY OF COMMERCE PUBLIC LIBRARY
2017,9.29785,CITY OF COMMERCE PUBLIC LIBRARY
2018,9.23861,CITY OF COMMERCE PUBLIC LIBRARY
2019,8.63988,CITY OF COMMERCE PUBLIC LIBRARY
2010,2.31983,COALINGA-HURON LIBRARY DISTRICT
2011,2.65179,COALINGA-HURON LIBRARY DISTRICT
2012,3.39839,COALINGA-HURON LIBRARY DISTRICT
2013,3.23626,COALINGA-HURON LIBRARY DISTRICT
2014,3.06996,COALINGA-HURON LIBRARY DISTRICT
2015,3.40596,COALINGA-HURON LIBRARY DISTRICT
2016,2.68449,COALINGA-HURON LIBRARY DISTRICT
2017,3.45262,COALINGA-HURON LIBRARY DISTRICT
2018,2.82458,COALINGA-HURON LIBRARY DISTRICT
2019,3.25578,COALINGA-HURON LIBRARY DISTRICT
