Year,Visits Per Capita,Library
2015,6.88909,CALABASAS CITY LIBRARY
2016,6.42893,CALABASAS CITY LIBRARY
2017,7.00202,CALABASAS CITY LIBRARY
2018,7.38479,CALABASAS CITY LIBRARY
2019,5.20812,CALABASAS CITY LIBRARY
2010,,CALAVERAS COUNTY LIBRARY
2011,,CALAVERAS COUNTY LIBRARY
2012,,CALAVERAS COUNTY LIBRARY
2013,,CALAVERAS COUNTY LIBRARY
2014,,CALAVERAS COUNTY LIBRARY
2015,0.72529,CALAVERAS COUNTY LIBRARY
2016,1.33767,CALAVERAS COUNTY LIBRARY
2017,1.4111,CALAVERAS COUNTY LIBRARY
2018,1.49248,CALAVERAS COUNTY LIBRARY
2019,1.10221,CALAVERAS COUNTY LIBRARY
2010,2.60481,CAMARENA MEMORIAL PUBLIC LIBRARY
2011,2.53067,CAMARENA MEMORIAL PUBLIC LIBRARY
2012,2.43138,CAMARENA MEMORIAL PUBLIC LIBRARY
2013,2.4308,CAMARENA MEMORIAL PUBLIC LIBRARY
2014,2.32213,CAMARENA MEMORIAL PUBLIC LIBRARY
2015,2.79991,CAMARENA MEMORIAL PUBLIC LIBRARY
2016,2.31463,CAMARENA MEMORIAL PUBLIC LIBRARY
2017,1.95046,CAMARENA MEMORIAL PUBLIC LIBRARY
2018,1.90369,CAMARENA MEMORIAL PUBLIC LIBRARY
2019,1.22983,CAMARENA MEMORIAL PUBLIC LIBRARY
2010,2.98376,CAMARILLO PUBLIC LIBRARY
2011,9.19364,CAMARILLO PUBLIC LIBRARY
2012,6.32056,CAMARILLO PUBLIC LIBRARY
2013,6.3781,CAMARILLO PUBLIC LIBRARY
2014,6.18803,CAMARILLO PUBLIC LIBRARY
2015,6.07939,CAMARILLO PUBLIC LIBRARY
2016,6.04417,CAMARILLO PUBLIC LIBRARY
2017,5.91585,CAMARILLO PUBLIC LIBRARY
2018,5.6288,CAMARILLO PUBLIC LIBRARY
2019,3.84294,CAMARILLO PUBLIC LIBRARY
2010,8.05957,CARLSBAD CITY LIBRARY
2011,7.97242,CARLSBAD CITY LIBRARY
2012,7.58499,CARLSBAD CITY LIBRARY
2013,7.18472,CARLSBAD CITY LIBRARY
2014,7.26598,CARLSBAD CITY LIBRARY
2015,5.39873,CARLSBAD CITY LIBRARY
2016,6.33286,CARLSBAD CITY LIBRARY
2017,5.97781,CARLSBAD CITY LIBRARY
2018,5.80499,CARLSBAD CITY LIBRARY
2019,4.18789,CARLSBAD CITY LIBRARY
2010,21.68504,CERRITOS PUBLIC LIBRARY
2011,21.03007,CERRITOS PUBLIC LIBRARY
2012,19.49489,CERRITOS PUBLIC LIBRARY
2013,18.80702,CERRITOS PUBLIC LIBRARY
2014,31.90234,CERRITOS PUBLIC LIBRARY
2015,39.57201,CERRITOS PUBLIC LIBRARY
2016,52.86666,CERRITOS PUBLIC LIBRARY
2017,55.569,CERRITOS PUBLIC LIBRARY
2018,8.89771,CERRITOS PUBLIC LIBRARY
2019,11.54022,CERRITOS PUBLIC LIBRARY
2010,2.49432,CHULA VISTA PUBLIC LIBRARY
2011,2.91244,CHULA VISTA PUBLIC LIBRARY
2012,3.31054,CHULA VISTA PUBLIC LIBRARY
2013,3.25182,CHULA VISTA PUBLIC LIBRARY
2014,3.11461,CHULA VISTA PUBLIC LIBRARY
2015,3.2349,CHULA VISTA PUBLIC LIBRARY
2016,6.10581,CHULA VISTA PUBLIC LIBRARY
2017,6.44707,CHULA VISTA PUBLIC LIBRARY
2018,6.10059,CHULA VISTA PUBLIC LIBRARY
2019,3.53358,CHULA VISTA PUBLIC LIBRARY
2010,24.95707,CITY OF COMMERCE PUBLIC LIBRARY
2011,23.71937,CITY OF COMMERCE PUBLIC LIBRARY
2012,24.68411,CITY OF COMMERCE PUBLIC LIBRARY
2013,23.352,CITY OF COMMERCE PUBLIC LIBRARY
2014,23.99357,CITY OF COMMERCE PUBLIC LIBRARY
2015,23.13141,CITY OF COMMERCE PUBLIC LIBRARY
2016,27.23492,CITY OF COMMERCE PUBLIC LIBRARY
2017,25.36244,CITY OF COMMERCE PUBLIC LIBRARY
2018,20.8206,CITY OF COMMERCE PUBLIC LIBRARY
2019,13.09426,CITY OF COMMERCE PUBLIC LIBRARY
