Year,Circulation Per Capita,Library
2015,2.5635,BRAWLEY PUBLIC LIBRARY
2016,2.7269,BRAWLEY PUBLIC LIBRARY
2017,2.75927,BRAWLEY PUBLIC LIBRARY
2018,2.71471,BRAWLEY PUBLIC LIBRARY
2019,1.88526,BRAWLEY PUBLIC LIBRARY
2010,5.68076,BUENA PARK LIBRARY DISTRICT
2011,4.58663,BUENA PARK LIBRARY DISTRICT
2012,0.02794,BUENA PARK LIBRARY DISTRICT
2013,0.06449,BUENA PARK LIBRARY DISTRICT
2014,0.09736,BUENA PARK LIBRARY DISTRICT
2015,4.24588,BUENA PARK LIBRARY DISTRICT
2016,4.10881,BUENA PARK LIBRARY DISTRICT
2017,3.89926,BUENA PARK LIBRARY DISTRICT
2018,4.02545,BUENA PARK LIBRARY DISTRICT
2019,3.51655,BUENA PARK LIBRARY DISTRICT
2010,14.30317,BURBANK PUBLIC LIBRARY
2011,13.26929,BURBANK PUBLIC LIBRARY
2012,0.04674,BURBANK PUBLIC LIBRARY
2013,0.05777,BURBANK PUBLIC LIBRARY
2014,0.06489,BURBANK PUBLIC LIBRARY
2015,9.87392,BURBANK PUBLIC LIBRARY
2016,9.39813,BURBANK PUBLIC LIBRARY
2017,8.3739,BURBANK PUBLIC LIBRARY
2018,8.47297,BURBANK PUBLIC LIBRARY
2019,6.2538,BURBANK PUBLIC LIBRARY
2010,19.1792,BURLINGAME PUBLIC LIBRARY
2011,19.78794,BURLINGAME PUBLIC LIBRARY
2012,0.32175,BURLINGAME PUBLIC LIBRARY
2013,0.55966,BURLINGAME PUBLIC LIBRARY
2014,0.69088,BURLINGAME PUBLIC LIBRARY
2015,18.73304,BURLINGAME PUBLIC LIBRARY
2016,17.79954,BURLINGAME PUBLIC LIBRARY
2017,17.05754,BURLINGAME PUBLIC LIBRARY
2018,18.86332,BURLINGAME PUBLIC LIBRARY
2019,17.31983,BURLINGAME PUBLIC LIBRARY
2010,4.14688,BUTTE COUNTY LIBRARY
2011,4.35232,BUTTE COUNTY LIBRARY
2012,0.05482,BUTTE COUNTY LIBRARY
2013,0.143,BUTTE COUNTY LIBRARY
2014,0.07729,BUTTE COUNTY LIBRARY
2015,4.09833,BUTTE COUNTY LIBRARY
2016,3.81915,BUTTE COUNTY LIBRARY
2017,3.72224,BUTTE COUNTY LIBRARY
2018,3.37657,BUTTE COUNTY LIBRARY
2019,2.55352,BUTTE COUNTY LIBRARY
2010,10.22737,CALABASAS CITY LIBRARY
2011,9.45721,CALABASAS CITY LIBRARY
2012,0.03764,CALABASAS CITY LIBRARY
2013,0.10429,CALABASAS CITY LIBRARY
2014,0.29903,CALABASAS CITY LIBRARY
2015,5.7171,CALABASAS CITY LIBRARY
2016,5.4431,CALABASAS CITY LIBRARY
2017,5.84693,CALABASAS CITY LIBRARY
2018,6.33549,CALABASAS CITY LIBRARY
2019,4.77551,CALABASAS CITY LIBRARY
