Year,Expense Per Capita,Library
2011,61.27727,BURBANK PUBLIC LIBRARY
2012,58.6885,BURBANK PUBLIC LIBRARY
2013,58.3836,BURBANK PUBLIC LIBRARY
2014,57.6653,BURBANK PUBLIC LIBRARY
2015,61.01773,BURBANK PUBLIC LIBRARY
2016,60.33179,BURBANK PUBLIC LIBRARY
2017,58.81937,BURBANK PUBLIC LIBRARY
2018,61.47154,BURBANK PUBLIC LIBRARY
2019,69.0117,BURBANK PUBLIC LIBRARY
2010,95.23541,BURLINGAME PUBLIC LIBRARY
2011,103.48558,BURLINGAME PUBLIC LIBRARY
2012,106.0316,BURLINGAME PUBLIC LIBRARY
2013,107.42539,BURLINGAME PUBLIC LIBRARY
2014,120.43759,BURLINGAME PUBLIC LIBRARY
2015,120.44609,BURLINGAME PUBLIC LIBRARY
2016,127.80344,BURLINGAME PUBLIC LIBRARY
2017,138.02635,BURLINGAME PUBLIC LIBRARY
2018,146.17645,BURLINGAME PUBLIC LIBRARY
2019,153.17246,BURLINGAME PUBLIC LIBRARY
2010,11.67893,BUTTE COUNTY LIBRARY
2011,13.21392,BUTTE COUNTY LIBRARY
2012,11.43372,BUTTE COUNTY LIBRARY
2013,13.17848,BUTTE COUNTY LIBRARY
2014,12.40845,BUTTE COUNTY LIBRARY
2015,11.7142,BUTTE COUNTY LIBRARY
2016,17.41342,BUTTE COUNTY LIBRARY
2017,14.70682,BUTTE COUNTY LIBRARY
2018,15.29814,BUTTE COUNTY LIBRARY
2019,16.50623,BUTTE COUNTY LIBRARY
2010,51.0389,CALABASAS CITY LIBRARY
2011,58.17831,CALABASAS CITY LIBRARY
2012,52.58008,CALABASAS CITY LIBRARY
2013,50.7994,CALABASAS CITY LIBRARY
2014,52.78172,CALABASAS CITY LIBRARY
2015,54.02535,CALABASAS CITY LIBRARY
2016,74.83196,CALABASAS CITY LIBRARY
2017,77.35055,CALABASAS CITY LIBRARY
2018,59.79244,CALABASAS CITY LIBRARY
2019,60.42835,CALABASAS CITY LIBRARY
2010,9.66675,CALAVERAS COUNTY LIBRARY
2011,9.12377,CALAVERAS COUNTY LIBRARY
2012,9.24982,CALAVERAS COUNTY LIBRARY
2013,10.26085,CALAVERAS COUNTY LIBRARY
2014,9.76014,CALAVERAS COUNTY LIBRARY
2015,9.81518,CALAVERAS COUNTY LIBRARY
2016,10.73506,CALAVERAS COUNTY LIBRARY
2017,13.1586,CALAVERAS COUNTY LIBRARY
2018,13.20748,CALAVERAS COUNTY LIBRARY
2019,13.91338,CALAVERAS COUNTY LIBRARY
2010,20.04614,CAMARENA MEMORIAL PUBLIC LIBRARY
2011,16.18053,CAMARENA MEMORIAL PUBLIC LIBRARY
2012,16.78927,CAMARENA MEMORIAL PUBLIC LIBRARY
2013,14.20289,CAMARENA MEMORIAL PUBLIC LIBRARY
2014,15.76753,CAMARENA MEMORIAL PUBLIC LIBRARY
2015,21.62761,CAMARENA MEMORIAL PUBLIC LIBRARY
2016,16.41006,CAMARENA MEMORIAL PUBLIC LIBRARY
2017,19.09185,CAMARENA MEMORIAL PUBLIC LIBRARY
2018,16.93083,CAMARENA MEMORIAL PUBLIC LIBRARY
2019,15.96704,CAMARENA MEMORIAL PUBLIC LIBRARY
2010,41.65927,CAMARILLO PUBLIC LIBRARY
2011,59.96652,CAMARILLO PUBLIC LIBRARY
2012,57.86998,CAMARILLO PUBLIC LIBRARY
2013,62.85063,CAMARILLO PUBLIC LIBRARY
